Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00303246421307354,-0.000695340443194854,0.0297996781638517,0,0,0,0.129362756701896,0.000209631286775999,1.3987766340865E-06,5.68764766805313E-06,0.000199785107628426,-3.65982104907021E-06,0.000237444184695321,0,0,0,0,0,0,package://a1y/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://a1y/meshes/base_link.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/基座.1.stp-1/基座底板.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1,4.1065175135883E-07,-0.00198628171247454,0.0468863413356551,0,0,0,0.364536327785749,0.000224135392915726,-1.28206810172038E-09,7.50235402650185E-09,0.00026979982869931,7.49527197322758E-09,0.000218724360467532,0,0,0,0,0,0,package://a1y/meshes/arm_link1.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link1.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/link1.stp-1/J2电机.1.stp-1;A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/link1.stp-1/双端连接板.stp-1,arm_link1,arm_joint1,arm_joint1,revolute,0,0,0.08605,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
arm_link2,-0.122673818397923,-0.0295401461831619,0.00364838977156251,0,0,0,0.356836735685561,0.000388311522528777,-2.18086613093501E-05,8.77434895649448E-06,0.00274683151904258,1.19756607314247E-06,0.00278055331308976,0,0,0,0,0,0,package://a1y/meshes/arm_link2.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link2.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/link2.stp-1/J2输出板1.7.stp-1,arm_link2,arm_joint2,arm_joint2,revolute,0,0.03075,0.04925,0,0,0,arm_link1,0,1,0,0,0,0,0,,,,,,,,
arm_link3,0.0795681449160072,-0.0327357454565678,0.065177920553168,0,0,0,0.297391099153798,0.000282703505875711,-4.06256349285171E-06,-7.63228373259732E-05,0.000329835410245831,-1.03493005263955E-05,0.000237652038430906,0,0,0,0,0,0,package://a1y/meshes/arm_link3.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link3.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link3.1.stp-1/小方管.23.stp-1;A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link3.1.stp-1/J4电机.17.stp-1,arm_link3,arm_joint3,arm_joint3,revolute,-0.3,0.00024449,0,0,0,0,arm_link2,0,1,0,0,0,0,0,,,,,,,,
arm_link4,0.0388578803222686,0.000937806543809841,-1.15721572034322E-05,0,0,0,0.156497628662903,5.97701758868814E-05,-6.87774799668449E-10,-2.14372946639157E-10,6.0587917049985E-05,-5.98401601618766E-11,5.98342278178533E-05,0,0,0,0,0,0,package://a1y/meshes/arm_link4.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link4.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link4.1.stp-1/J5固定板1.stp-1;A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link4.1.stp-1/J5电机.24.stp-1,arm_link4,arm_joint4,arm_joint4,revolute,0.1544,-0.030998,0.075485,0,0,0,arm_link3,1,0,0,0,0,0,0,,,,,,,,
arm_link5,0.0526293728146609,-0.0197387756630963,7.38547745043894E-06,0,0,0,0.152906981419811,5.87226827172217E-05,3.94835644387525E-09,-1.57113932950695E-12,6.96559934519655E-05,7.55674102061766E-09,6.85055623583414E-05,0,0,0,0,0,0,package://a1y/meshes/arm_link5.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link5.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link5.1.stp-1/J6电机.14.stp-1;A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/AX_link5.1.stp-1/J6固定板.9.stp-1,arm_link5,arm_joint5,arm_joint5,revolute,0.0418,0.023501,0,0,0,0,arm_link4,0,1,0,0,0,0,0,,,,,,,,
arm_link6,0.00709944781467154,1.26586535489642E-07,-3.8262881471296E-05,0,0,0,0.0113961425412081,3.44528457425794E-06,2.98138934982256E-11,-1.26128084918303E-09,1.82573408455416E-06,1.17092872453752E-14,1.8173151968758E-06,0,0,0,0,0,0,package://a1y/meshes/arm_link6.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/arm_link6.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/J6输出轴法兰盘.stp-1,arm_link6,arm_joint6,arm_joint6,revolute,0.081,-0.023499,0,0,0,0,arm_link5,1,0,0,0,0,0,0,,,,,,,,
gripper_link,-0.0311072379463468,-5.32126034905504E-07,-9.19980751579175E-08,0,0,0,0.246251128080965,0.00017587895693059,1.38739918178544E-09,1.28476385950592E-09,9.86355058862358E-05,-8.18608543121037E-08,0.000165120403698736,0,0,0,0,0,0,package://a1y/meshes/gripper_link.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/gripper_link.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/Copy (1) of G1夹爪.stp-1/Copy (1) of Copy (1) of G1_GEN2_.20.stp-1,gripper_link,gripper_joint,gripper_joint,fixed,0.08165,0,0,0,0,0,arm_link6,0,0,0,,,,,,,,,,,,
gripper_finger_link1,-0.0195892566606875,-0.0151140214225836,0.00542244704455089,0,0,0,0.0201965308906806,2.4056694815471E-06,3.98931810903216E-07,5.12130822079716E-08,5.71084140803849E-06,6.19490405774933E-08,6.48485512533118E-06,0,0,0,0,0,0,package://a1y/meshes/gripper_finger_link1.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/gripper_finger_link1.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/Copy (1) of G1夹爪.stp-1/Copy (1) of Copy (1) of F1.22.stp-1,gripper_finger_link1,gripper_finger_joint1,gripper_finger_joint1,prismatic,0.03689,0.013454,0.00012065,0,0,0,gripper_link,0,1,0,0,0,0,0,,,,,,,,
gripper_finger_link2,-0.0195898119754071,0.0151133016660799,-0.00542244700767924,0,0,0,0.0201965308906567,2.40569880083347E-06,-3.99053247972178E-07,-5.12153506189465E-08,5.71081208855091E-06,6.19471596215801E-08,6.48485512551603E-06,0,0,0,0,0,0,package://a1y/meshes/gripper_finger_link2.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://a1y/meshes/gripper_finger_link2.STL,,A1Y_EVT3_URDF_20240210.stp-1/A1Y EVT3.stp-1/Copy (1) of G1夹爪.stp-1/Copy (1) of Copy (2) of F1.stp-1,gripper_finger_link2,gripper_finger_joint2,gripper_finger_joint2,prismatic,0.03689,-0.013452,-0.00012065,0,0,0,gripper_link,0,1,0,0,0,0,0,,,,,,,,
