Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0030503,-9.6245E-05,0.14087,0,0,0,68.732,1.5812,-1.0627E-05,0.053601,1.4648,5.7052E-06,2.835,0,0,0,0,0,0,package://R1/meshes/base_link.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/base_link.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/底盘外壳.stp-1;01_R1_PRO_component_URDF_20240904.stp-1/W1底座.stp-1/W1.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo_link1,7.5341E-06,-0.0035676,-0.04821,0,0,0,0.21701,0.00021869,-3.4649E-09,2.6493E-09,0.00032528,2.5507E-07,0.00015773,0,0,0,0,0,0,package://R1/meshes/servo_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/servo_link1.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/转向轮2.stp-1,servo_link1,servo_joint1,servo_joint1,revolute,0.21516,0.28001,0.116,0,0,0,base_link,0,0,1,44,3.1416,-1.5708,1.5708,,,,,,,,
wheel_link1,-2.0533E-09,-6.2367E-09,-0.0277,0,0,0,0.8528,0.0012628,-5.7971E-09,-7.3456E-12,0.0012628,-1.6082E-11,0.0020893,0,0,0,0,0,0,package://R1/meshes/wheel_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/wheel_link1.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/驱动轮2.stp-1,wheel_link1,wheel_joint1,wheel_joint1,continuous,0,0.027694,-0.08765,-1.5708,0,0,servo_link1,0,0,1,,,,,,,,,,,,
servo_link2,7.5219E-06,-0.0035675,-0.04821,0,0,0,0.21701,0.0002187,-3.4594E-09,2.4969E-09,0.00032528,2.5522E-07,0.00015773,0,0,0,0,0,0,package://R1/meshes/servo_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/servo_link2.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/转向轮1.stp-1,servo_link2,servo_joint2,servo_joint2,revolute,0.21516,-0.27999,0.116,0,0,0,base_link,0,0,1,44,3.1416,-1.5708,1.5708,,,,,,,,
wheel_link2,-2.0528E-09,-6.2367E-09,-0.0277,0,0,0,0.8528,0.0012628,-5.7971E-09,-7.3429E-12,0.0012628,-1.6081E-11,0.0020893,0,0,0,0,0,0,package://R1/meshes/wheel_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/wheel_link2.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/驱动轮1.stp-1,wheel_link2,wheel_joint2,wheel_joint2,continuous,0,0.0276943179214421,-0.0876499639638649,-1.5707948453441,0,0,servo_link2,0,0,-1,,,,,,,,,,,,
servo_link3,-7.163E-06,0.0035641,-0.04821,0,0,0,0.21701,0.0002187,-3.3419E-09,-2.0956E-09,0.00032528,-2.5463E-07,0.00015773,0,0,0,0,0,0,package://R1/meshes/servo_link3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/servo_link3.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/转向轮3.stp-1,servo_link3,servo_joint3,servo_joint3,revolute,-0.28085,0,0.116,0,0,0,base_link,0,0,1,44,3.1416,-1.5708,1.5708,,,,,,,,
wheel_link3,7.3358E-09,4.0895E-09,-0.0277,0,0,0,0.8528,0.0012628,-5.7894E-09,2.5267E-15,0.0012628,1.9268E-11,0.0020893,0,0,0,0,0,0,package://R1/meshes/wheel_link3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/wheel_link3.STL,,01_R1_PRO_component_URDF_20240904.stp-1/底盘组件.stp-1/驱动轮3.stp-1,wheel_linkr,wheel_joint3,wheel_joint3,continuous,0,0.027702,-0.08765,-1.5708,0,0,servo_link3,0,0,1,,,,,,,,,,,,
torso_link1,0.00065636,-0.23142,0.0032247,0,0,0,3.9001,0.10931,0.00017473,7.7895E-06,0.0081222,-0.00013763,0.10736,0,0,0,0,0,0,package://R1/meshes/torso_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/torso_link1.STL,,01_R1_PRO_component_URDF_20240904.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿外观件.stp-1;01_R1_PRO_component_URDF_20240904.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿结构件.stp-1,torso_link1,torso_joint1,torso_joint1,revolute,-0.032845,0,0.301,-1.5708,0,0,base_link,0,0,1,0,0,-1.1345,1.8326,,,,,,,,
torso_link2,0.0052517,-0.15711,0.014411,0,0,0,1.5996,0.026081,-0.00024541,-3.342E-07,0.0018515,-3.8476E-07,0.027574,0,0,0,0,0,0,package://R1/meshes/torso_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://R1/meshes/torso_link2.STL,,01_R1_PRO_component_URDF_20240904.stp-1/大腿组件.stp-1/R1_EVT3_大腿外观件.stp-1;01_R1_PRO_component_URDF_20240904.stp-1/大腿组件.stp-1/R1_EVT3_大腿结构件.stp-1,torso_link2,torso_joint2,torso_joint2,revolute,0,-0.4,0,0,0,0,torso_link1,0,0,1,0,0,-2.7925,2.5307,,,,,,,,
torso_link3,-7.8458E-08,-0.031308,-0.00018966,0,0,0,2.3959,0.0035869,-5.9704E-10,-4.4385E-10,0.0036236,-0.00010486,0.0043819,0,0,0,0,0,0,package://R1/meshes/torso_link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://R1/meshes/torso_link3.STL,,01_R1_PRO_component_URDF_20240904.stp-1/URDFpitch组件.stp-1/Copy (1) of 运动校核_pitch组件.1.stp-1,torso_link3,torso_joint3,torso_joint3,revolute,0,-0.3,0,0,0,0,torso_link2,0,0,1,0,0,-2.0944,1.8326,,,,,,,,
