Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.049262,-8.8054E-05,0.18255,0,0,0,68.737,1.5812,-1.0625E-05,0.053601,1.4648,5.7054E-06,2.835,0,0,0,0,0,0,package://r1lite/meshes/base_link.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/base_link.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/底盘外壳.stp-1;01_R1_A2_20250104.stp-1/W1底座.stp-1/W1.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_motor_link1,7.7174E-06,-0.004623,-0.049428,0,0,0,0.22392,0.00022164,-3.529E-09,3.4267E-09,0.00032908,-7.5872E-08,0.00015872,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link1.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/转向轮2.stp-1,steer_motor_link1,steer_motor_joint1,steer_motor_joint1,revolute,0.16897,0.28,0.15765,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link1,1.6481E-10,-1.6203E-10,-9.455E-10,0,0,0,0.8528,0.0012628,1.0701E-10,5.7971E-09,0.0020893,1.2406E-09,0.0012628,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link1.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link1.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/驱动轮2.stp-1,wheel_motor_link1,wheel_motor_joint1,wheel_motor_joint1,continuous,0,0,-0.08765,0,0,0,steer_motor_link1,0,1,0,,,,,,,,,,,,
steer_motor_link2,6.044E-06,0.00010023,-0.052223,0,0,0,0.25368,0.0002535,-4.9113E-09,5.8918E-09,0.00037037,-2.9177E-07,0.000163,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link2.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/转向轮1.stp-1,steer_motor_link2,steer_motor_joint2,steer_motor_joint2,revolute,0.16897,-0.28,0.15765,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link2,1.6448E-10,-1.616E-10,-9.4549E-10,0,0,0,0.8528,0.0012628,1.0701E-10,5.7971E-09,0.0020893,1.2406E-09,0.0012628,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link2.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/驱动轮1.stp-1,wheel_motor_link2,wheel_motor_joint2,wheel_motor_joint2,continuous,0,0,-0.08765,0,0,0,steer_motor_link2,0,1,0,,,,,,,,,,,,
steer_motor_link3,-6.029E-06,-0.00010167,-0.052221,0,0,0,0.25367,0.0002535,-4.6767E-09,-3.5903E-09,0.00037036,2.9246E-07,0.000163,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/steer_motor_link3.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/转向轮3.stp-1,steer_motor_link3,steer_motor_joint3,steer_motor_joint3,revolute,-0.32703,0,0.15765,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link3,-2.443E-09,1.4779E-12,5.1754E-12,0,0,0,0.8528,0.0012628,1.1439E-10,5.7894E-09,0.0020893,1.2052E-09,0.0012628,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link3.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/wheel_motor_link3.STL,,01_R1_A2_20250104.stp-1/底盘组件.stp-1/驱动轮3.stp-1,wheel_motor_link3,wheel_motor_joint3,wheel_motor_joint3,continuous,0,0,-0.08765,0,0,0,steer_motor_link3,0,1,0,,,,,,,,,,,,
torso_link1,0.00065636,0.0032244,0.23142,0,0,0,3.9001,0.10931,7.7894E-06,-0.00017473,0.10736,0.00013778,0.0081222,0,0,0,0,0,0,package://r1lite/meshes/torso_link1.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://r1lite/meshes/torso_link1.STL,,01_R1_A2_20250104.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿结构件.stp-1;01_R1_A2_20250104.stp-1/小腿组件.stp-1/URDF小腿.stp-1/R1_EVT3_小腿外观件.stp-1,torso_link1,torso_joint1,torso_joint1,revolute,-0.079032,0,0.34265,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
torso_link2,0.0052517,0.014411,0.15711,0,0,0,1.5996,0.026081,-3.3436E-07,0.00024541,0.027574,4.2283E-07,0.0018515,0,0,0,0,0,0,package://r1lite/meshes/torso_link2.STL,0.82353,0.82353,1,1,0,0,0,0,0,0,package://r1lite/meshes/torso_link2.STL,,01_R1_A2_20250104.stp-1/大腿组件.stp-1/R1_EVT3_大腿外观件.stp-1;01_R1_A2_20250104.stp-1/大腿组件.stp-1/R1_EVT3_大腿结构件.stp-1,torso_link2,torso_joint2,torso_joint2,revolute,0,0,0.4,0,0,0,torso_link1,0,1,0,0,0,0,0,,,,,,,,
torso_link3,-9.8337E-07,-0.0055146,0.020182,0,0,0,0.90156,0.0016099,3.5899E-07,2.5497E-07,0.0023011,1.367E-05,0.0017027,0,0,0,0,0,0,package://r1lite/meshes/torso_link3.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://r1lite/meshes/torso_link3.STL,,01_R1_A2_20250104.stp-1/pitch组件.stp-1,torso_link3,torso_joint3,torso_joint3,revolute,0,0.0001005,0.3,0,0,0,torso_link2,0,-1,0,0,0,0,0,,,,,,,,
